date,name,category,value
2022-03-22,Ukraine,hashtag,1274
2022-03-22,und,hashtag,770
2022-03-22,Russia,hashtag,470
2022-03-22,Zelensky,hashtag,351
2022-03-23,Ukraine,hashtag,309
2022-03-23,und,hashtag,247
2022-03-22,Standwithukraine,hashtag,235
2022-03-22,Putin,hashtag,208
2022-03-22,Russian,hashtag,204
2022-03-22,Russianassettracker,hashtag,181
2022-03-23,Russia,hashtag,177
2022-03-22,Mariupol,hashtag,125
2022-03-22,Ukrainerussiawar,hashtag,123
2022-03-22,Kyiv,hashtag,112
2022-03-22,Oncezlarcukurova,hashtag,95
2022-03-22,Zulhak,hashtag,95
2022-03-22,Ibrahimcelikkol,hashtag,95
2022-03-22,Windofchange,hashtag,90
2022-03-22,Dragons,hashtag,82
2022-03-23,Putin,hashtag,76
2022-03-22,War,hashtag,72
2022-03-22,Oicinpakistan,hashtag,64
2022-03-22,Ukrainian,hashtag,62
2022-03-22,Russianukrainianwar,hashtag,62
2022-03-23,Russian,hashtag,55
2022-03-22,Ukrainerussianwar,hashtag,52
2022-03-22,Russianarmy,hashtag,49
2022-03-23,Standwithukraine,hashtag,48
2022-03-22,Nato,hashtag,42
2022-03-22,Belarus,hashtag,42
2022-03-22,500daysoftigraygenocide,hashtag,42
2022-03-22,Anonymous,hashtag,42
2022-03-22,Fsbletters,hashtag,41
2022-03-22,Stoprussia,hashtag,40
2022-03-22,Syria,hashtag,40
2022-03-22,Russiainvadedukraine,hashtag,40
2022-03-22,Ukrainewar,hashtag,39
2022-03-22,Ukrainians,hashtag,38
2022-03-22,Oprussia,hashtag,36
2022-03-22,Tigraygenocide,hashtag,36
2022-03-22,Нетвойне,hashtag,36
2022-03-22,Kherson,hashtag,35
2022-03-23,Kyiv,hashtag,34
2022-03-22,Us,hashtag,34
2022-03-22,Stopputin,hashtag,32
2022-03-22,Ukraineunderattack,hashtag,32
2022-03-22,Россиясмотри,hashtag,31
2022-03-22,Putinisawarcriminal,hashtag,31
2022-03-22,Parliament,hashtag,31
2022-03-22,Kharkiv,hashtag,31
2022-03-22,Nuremberg,hashtag,28
2022-03-22,Mizintsev,hashtag,28
2022-03-22,Italy,hashtag,28
2022-03-23,Zelensky,hashtag,27
2022-03-22,2,hashtag,27
2022-03-22,Stoprussianaggression,hashtag,26
2022-03-23,Slavaukraini,hashtag,26
2022-03-23,Springstatement,hashtag,25
2022-03-22,Slavaukraini,hashtag,25
2022-03-22,Odesa,hashtag,25
2022-03-22,Nft,hashtag,25
2022-03-23,Mariupol,hashtag,24
2022-03-22,Saynotobarbarism,hashtag,24
2022-03-22,Biden,hashtag,24
2022-03-23,War,hashtag,24
2022-03-22,Ukrainerussia,hashtag,23
2022-03-22,Bratchuk,hashtag,23
2022-03-22,Russiaukrainewar,hashtag,23
